Fam1EN;CostTypeEN;BookingEN;ActivityKey;combined_text;Transaction_Index;Cat1_Match;Cat2_Match;DescriptionCat2_Match;Similarity_Score
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;970;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;971;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;972;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;973;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;974;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;975;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;976;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;977;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;978;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;979;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
energy, operating and auxiliary materials;Water;water iv;Water;Water water iv;980;agri-food products;beverages;alcoholic and non-alcoholic beverages such as beer, bottled beer, wines, fine wines and champagne, coffee, tea, mineral water, orange juice, soft drinks and water. these products meet consumer needs, whether for everyday consumption or for special occasions.;0.30593711137771606
